yasuha,12151.6,98.4439,46589,402
Jorlando,12146.1,97.9196,195010,403
suffix,12146,97.3583,136722,403
Flaven,12144.6,99.3884,169440,405
c0bble,12144.6,97.4267,121600,406
defii,12144,98.044,163157,407
SaintSFT,12142.8,98.3088,65810,408
L4plus1,12139.7,97.9576,101988,409
LightsOut,12133.4,98.2761,169476,410
LoidKun,12126.8,97.7069,193644,411
MioMilo,12122.4,99.2122,189424,412
Sorae,12111.8,98.5523,76353,413
Takaga,12100.5,98.7778,89528,414
VoProSSoFF,12089.9,98.247,140290,415
Juandissimo,12084.1,98.3957,63742,416
TurtleSenpaii,12082.1,98.9684,34854,417
PemiX,12081.9,99.4019,134935,418
NeruNeru,12070.2,97.7241,176029,419
HENKSELI,12068.3,99.3475,162387,420
pineqpple,12067.4,98.7517,80506,420
Hungah,12066.4,98.2811,99232,422
Nadir,12061.6,98.7758,116146,423
My Angel Anzu,12058.5,98.2363,203586,424
Jalepers,12057.2,98.2471,86279,425
MyAngelSteisha,12055.5,99.5126,168658,426
nejzha,12055.4,96.3389,20795,427
Welter,12053.5,98.4224,103072,428
rezendeevil,12050.1,98.8527,188826,429
Ragezeus,12039,99.0917,114041,430
tones,12038.2,98.9722,74185,431
deruz,12036.7,98.1325,84674,432
Raspigaous_GG,12031.3,98.9685,205457,433
ChillierPear,12021.7,99.2449,73344,434
Wixonater,12019.8,99.0265,111587,435
Stoof,12016.3,99.1515,107229,436
Tooqie,12013.8,98.5322,120744,437
Dizick,12011.4,98.983,164894,438
ianski,12003.5,99.1515,134265,439
- DARK -,12001.5,99.0932,128795,440
Iliekwaffles,11993.7,98.0784,92165,441
Saiyku,11978.5,98.7727,76271,442
King Lizard,11975.6,98.0607,202729,443
Blairzey,11974.8,99.1374,289339,444
R1cho,11970,98.3815,149808,445
Chorus,11969.7,97.6371,118485,446
Mizuru,11962.3,98.9387,112193,447
alden,11954.1,98.2628,153839,448
ParkourWizard,11952.5,97.5568,98623,449
Rammu,11951.4,99.1666,93474,450
kodama,11950.2,99.0785,38902,451
D E L O N,11949.8,99.0177,38273,452
XVoIR,11941,98.4276,79662,453
[C],11933.4,97.6648,52235,454
Jageko,11930.9,98.4276,296594,455
Ilmeria,11930.1,97.9505,516741,456
Big Z,11929,99.1725,143303,457
hammytr,11928.8,98.8072,143470,458
Kynan,11920.7,98.9025,221105,459
garglockumesh,11910.8,97.7908,136275,460
heyronii,11907.8,98.121,149652,461
Neliel,11907,98.7671,168495,462
_index,11897.9,98.768,94024,463
- UMR -,11894.1,99.4667,52625,464
Jup3KW,11889.4,99.4303,105078,464
stackerjoe,11887.4,99.3414,110322,465
_Twent,11884.4,98.8543,149768,466
ORRRY,11882.9,97.5847,75603,467
robloxxa,11881.8,98.3095,52823,469
Arbusion,11880.7,99.2413,155463,469
Straub,11870,96.5606,68047,471
Maiaz,11868.9,98.6496,57219,470
Eunha -,11862.1,98.7297,140309,473
young leosia,11857.7,98.5706,129633,474
Myst1k,11853.9,98.7673,172348,474
NovatoKing,11849.2,98.3703,64704,475
